anio;mes;semana;dia;hora;subestacion;causa;subcausa;tipodispositivo;afectados
2017;5;20;5;13;27;11;14;6;3630
2017;5;20;5;15;27;11;14;6;3630
2017;5;21;2;13;7;11;14;6;45831
2017;5;21;2;13;18;11;14;6;2204
2017;5;21;2;15;2;3;13;6;68108
2017;5;21;3;20;15;14;18;6;1782
2017;5;21;5;14;15;10;14;6;1782
2017;5;21;6;16;6;10;33;6;4
2017;5;21;6;16;27;11;14;6;15
2017;5;22;1;20;22;10;14;6;3315
2017;5;22;4;13;16;1;4;6;2591
2017;5;22;6;12;16;14;18;6;2591
2017;5;22;7;11;16;10;14;6;2591
2017;5;22;7;11;27;10;14;6;3630
2017;5;22;7;11;27;14;24;6;3650
2017;5;23;2;11;24;10;14;6;2426
2017;5;23;2;15;16;11;14;6;2591
2017;5;23;2;16;16;11;14;6;15257
2017;5;23;2;18;25;14;24;6;2959
2017;6;23;5;14;25;10;14;6;2738
2017;6;23;6;14;22;11;14;6;3315
2017;6;23;6;15;13;11;14;6;846
2017;6;23;6;17;9;1;3;6;4922
2017;6;24;1;14;7;5;14;6;11142
2017;6;24;1;14;8;5;14;6;2240
2017;6;24;1;14;11;5;14;6;7555
2017;6;24;1;14;12;5;14;6;3891
2017;6;24;1;14;13;5;14;6;2544
2017;6;24;1;14;17;5;14;6;1144
2017;6;24;1;14;18;5;14;6;13124
2017;6;24;1;14;21;5;14;6;3605
2017;6;24;1;14;22;5;14;6;1430
2017;6;24;1;14;22;11;14;6;4107
2017;6;24;1;14;24;5;14;6;2654
2017;6;24;1;14;27;5;14;6;6550
2017;6;24;2;13;13;11;14;6;2448
2017;6;24;3;11;16;11;14;6;2591
2017;6;24;3;14;1;11;14;6;10917
2017;6;24;3;14;16;11;14;6;2591
2017;6;24;3;14;25;11;14;6;2738
2017;6;24;3;15;16;11;14;6;2989
2017;6;24;4;16;16;11;14;6;2684
2017;6;24;5;11;27;11;14;6;15
2017;6;25;1;15;6;13;28;6;4
2017;6;25;1;19;12;10;14;6;585
2017;6;25;1;20;22;10;14;6;1430
2017;6;25;7;11;18;5;14;6;3654
2017;6;25;7;11;18;10;14;6;2900
2017;6;26;1;14;24;10;14;6;2426
2017;6;26;1;15;16;10;14;6;2989
2017;6;26;3;11;6;10;14;6;5419
